ID,台語羅馬字,台語羅馬字2,台語漢字,華語對譯,英文,pos_h
13073,eng-a2-hou2,,鷹仔虎,;老鷹;松雀鷹;,,Na
13074,eng-a2-phiN7,,鷹仔鼻,;鷹勾鼻;,,
13075,eng-beng5,,英名,;英名;,,Na
13076,eng-beng5,,英明,;英明;,,VH
13077,Eng-bi2,,英美,;英美;,,
13078,eng-bou2,,英畝,;英畝;,,Nf
13079,eng-bu2,,鸚鵡,;鸚鵡;,,Na
13080,Eng-bun5,,英文,;英文;,,Na
13081,eng-chai5,,英才,;英才;,,Na
13082,eng-chhioh,,英尺,;英尺;,,Nf
13083,eng-chhun3,,英寸,;英寸;,,Nf
13084,eng-chhun3,,英吋,;英吋;,,Nf
13085,eng-chiau2,,鶯鳥,;鶯鳥;,,
13086,eng-chiau2,,鷹鳥,;老鷹;,,Na
13087,eng-chu,,英姿,;英姿;,,Na
13088,eng-chun3,,英俊,;英俊;,,VH
13089,eng-eng-ian3-ian3,,鶯鶯燕燕,;鶯鶯燕燕;,,Na
13090,Eng-gi2,Eng-gu2,英語,;英語;,,Na
13091,eng-hai5,,嬰孩,;嬰孩;,,Na
13092,Eng-Han3-ji7-tian2,,英漢字典,;英漢字典;,,
13093,eng-hang,,鷹魴,;燕魟;,,
13094,eng-hioh8-chhi3,,鷹葉刺,;老虎心;,,
13095,eng-hiong5,,英雄,;英雄;,,Na
13096,eng-ho5,,英豪,;英豪;,,Na
13097,eng-hoa5,,英華,;英華;,,Na
13098,eng-hoe,,櫻花,;櫻花;,,Na
13099,eng-hun5,,英魂,;英魂;,,Na
13100,eng-ia,,eng埃,;灰塵;煙塵;塵土;塵埃;,,Na
13101,eng-ia,,颺埃,;灰塵;塵埃;,,Na
13102,eng-ia-la7-kah,,eng埃撓夾,;塵封;,,VH
13103,eng-ia-sap-se2,eng-ia-sap-soe2,eng埃圾洗,;塵垢;,,Na
13104,eng-iong2,,英勇,;英勇;,,VH
13105,eng-ji5-sek,,嬰兒室,;嬰兒室;,,
13106,eng-jiau2-hoe,,鷹爪花,;鷹爪花;,,
13107,eng-jiau2-lan5,,鷹爪蘭,;鷹爪花;,,
13108,eng-jiau2-tho5,,鷹爪桃,;鷹爪花;,,
13109,eng-jim7,,膺任,;膺任;,,VG
13110,eng-kai,,應該,;活該;,,VH
13111,eng-ke3,,鷹架,;鷹架;,,Na
13112,Eng-kek-lan5,,英格蘭,;英格蘭;,,Nc
13113,eng-khi3,,英氣,;英氣;,,Na
13114,eng-kiat8,,英傑,;英傑;,,Na
13115,eng-ko,,鶯哥,;杜氏鸚哥魚;喬丹氏寒鯛;黑旗寒鯛;,,
13116,eng-ko,,鸚哥,;鸚鵡;,,Na
13117,Eng-koa,,鶯歌,;鶯歌;,,Nc
13118,eng-ko-chiau2,,鸚哥鳥,;鸚鵡;,,Na
13119,eng-ko-hoe,,鸚哥花,;梧桐;,,Na
13120,Eng-kok,,英國,;英國;,,Nc
13121,eng-ko-ke3,,鸚哥架,;十字架;,,Na
13122,eng-kok-hoe,,英國花,;野薑花;,,Na
13123,eng-ko-kiaN2,,鸚哥囝,;不肖子;,,
13124,Eng-kok-lang5,,英國人,;英國人;,,Na
13125,eng-ko-phiN7,,鸚哥鼻,;鷹勾鼻;鷹鉤鼻;鷹鼻;鸚哥鼻;,,Na
13126,Eng-kun,,英軍,;英軍;,,
13127,eng-lau7,,癰漏,;痔漏;,,Na
13128,eng-leng5,,英靈,;英靈;,,Na
13129,eng-li2,,英里,;英里;,,Nf
13130,eng-li2,,英哩,;英哩;,,Nf
13131,eng-liat8,,英烈,;英烈;,,VH
13132,eng-lok8,,瓔珞,;瓔珞;,,
13133,eng-ni5,,英年,;英年;,,Na
13134,eng-phong5-phong5,,颺蓬蓬,;煙霧瀰漫;,,
13135,Eng-pong7,,英鎊,;英鎊;,,Nf
13136,eng-sek,,罌粟,;罌粟;,,Na
13137,eng-soan2,,膺選,;膺選;,,VG
13138,eng-thiau7-chiau2,,鷹柱鳥,;赤腹鷹;,,
13139,eng-tho5,,櫻桃,;櫻桃;,,Na
13140,eng-ui,,英威,;威風;威嚴;春風得意;,,VH
13141,eng-ui-pong7-pong7,,英威磅磅,;耀武揚威;,,VH
13142,e-the,,挨推,;推託;推辭;,,VA;VB
13143,e-tioh8,,挨著,;碰到;擦撞;,,VC
13144,e--tioh8,,挨著,;推到;撞到;,,VR
13145,e-to2,,挨倒,;碰倒;,,VR
13146,ga2-suh,oa2-suh,瓦斯,;瓦斯;,,Na
13147,ga2-su-lou5,,瓦斯爐,;瓦斯爐;,,Na
13148,ga5,,牙,;牙;螺絲紋;,,Na
13149,gai2,,騃,;騃;,,b
13150,gai5,,騃,;麻木;,,VH
13151,gai5-a2-chiN5,,gai5仔錢,;小錢;,,Na
13152,gai5-ko,,gai5哥,;刁頑;乖張;執拗;,,VH
13153,gai5-pan2,,gai5板,;平板;呆板;,,VH
13154,gai7,,礙,;妨礙;礙;,,VC
13155,gai7-bak8,,礙目,;不順眼;有礙觀贍;礙眼;,,VH
13156,gai7-chhiu2-gai7-kha,,礙手礙腳,;礙手礙腳;,,VH
13157,gai7-gek8,gai7-giok8,礙逆,;不對勁;芥蒂;過節;,,VA;Na;VH
13158,gai7-gioh8,,礙虐,;別扭;納悶兒;,,
13159,gai7-gioh8,,礙謔,;不舒服;不對勁;別扭;疙瘩;彆扭;尷尬;,,Na;VH
13160,gai7-hi7,,礙耳,;逆耳;,,VH
13161,gai7-kha-gai7-chhiu2,,礙腳礙手,;礙手礙腳;,,VH
13162,gai7-su7,,礙事,;礙事;,,VH
13163,gai7-tioh8,,礙著,;牴觸;,,VC
13164,gai7-ui7,,礙胃,;傷胃;,,
13165,gak8-bo2,gak8-bu2,岳母,;岳母;,,Na
13166,gak8-chhiu2,,樂手,;樂手;,,Na
13167,gak8-chiuN,,樂章,;樂章;,,Na
13168,gak8-chut,,獄卒,;獄卒;,,Na
13169,gak8-hu2,,樂府,;樂府;,,Na
13170,gak8-hu7,,岳父,;岳父;,,Na
13171,Gak8-hui,,岳飛,;岳飛;,,Nb
13172,gak8-im,,樂音,;樂音;,,Na
13173,Gak8-iong5,,岳陽,;岳陽;,,Nc
13174,gak8-khek,,樂曲,;樂曲;,,Na
13175,gak8-khi3,,樂器,;樂器;,,Na
13176,gak8-li2,,樂理,;樂理;,,Na
13177,gak8-phou2,,樂譜,;樂譜;,,Na
13178,gak8-siaN,,樂聲,;樂聲;,,Na
13179,gak8-su,,樂師,;樂師;,,Na
13180,gak8-thoan5,,樂團,;樂團;,,Nc
13181,gak8-toaN5,,樂壇,;樂壇;,,Nc
13182,gak8-tui7,,樂隊,;樂隊;,,Na
13183,gam2,,gam2,;刻痕;階;榫;輪緣;,,Na;Nf;b
13184,gam2-a2,,岑仔,;台階;階梯;,,Na
13185,gam5,,岩,;岩;,,b
13186,gam5,,癌,;腫瘤;瘤子;癌;,,Na
13187,gam5-cheng3,,癌症,;癌症;,,Na
13188,gam5-chioh8,,岩石,;岩石;磐石;,,Na
13189,gam5-chiuN,,岩漿,;岩漿;,,Na
13190,gam5-iam5,,岩鹽,;岩鹽;礦鹽;,,Na
13191,gam5-sek,,岩色,;橙色;,,Na
13192,gam5-tong5,,岩桐,;八角楓;,,
13193,gam5-tong7,,岩洞,;岩洞;,,Nc
13194,gam7,,gam7,;呆呆的樣子;憨;,,VH
13195,gam7,,儑,;愚妄;愚頑;,,VH
13196,gam7-a2-hi5,gam7-a2-hu5,儑仔魚,;虎;,,
13197,gam7-au2-a2,,儑拗仔,;虎;,,
13198,gam7-bak8,,gam7目,;眼光遲鈍;,,
13199,gam7-bin7,,gam7面,;呆戇;,,
13200,gam7-bin7,,儑面,;狂妄;,,VH
13201,gam7-lang5,,儑人,;狂人;,,Na
13202,gam7-siuN7,,儑想,;妙想天開;非分之想;異想天開;想入非非;覬覦;癡心妄想;,,VA;Na;VC;VE;VH
13203,gan2-bak8,,眼目,;耳目;眼線;,,Na
13204,gan2-cheng3,,眼證,;目擊者;目擊證人;,,Na
13205,gan2-chian5,,眼前,;眼前;,,
13206,gan2-chian5-po3,gian2-chian5-po3,眼前報,;現時報;,,
13207,gan2-chiau2,gian2-chiau2,眼鳥,;首腦;機靈;,,Na;VH
13208,gan2-chit8-e7,,眼一下,;瞄一眼;,,
13209,gan2-hoe-liau5-loan7,,眼花撩亂,;眼花撩亂;,,VH
13210,gan2-hok,,眼福,;眼福;,,Na
13211,gan2-kai3,,眼界,;眼界;,,Na
13212,gan2-kak-mouh8,,眼角膜,;眼角膜;,,Na
13213,gan2-kho,,眼科,;眼科;,,Nc
13214,gan2-khong2-toa7,,眼孔大,;目高於頂;,,
13215,gan2-kian3,,眼見,;眼見;,,VE
13216,gan2-kiaN3-hang5,,眼鏡行,;眼鏡行;,,
13217,gan2-kiu5,,眼球,;眼球;,,Na
13218,gan2-koe3,gan2-ke3,眼過,;過目;,,VB
13219,gan2-kong,,眼光,;眼光;,,Na
13220,gan2-lek8,,眼力,;眼力;,,Na
13221,gan2-lui7,,眼淚,;眼淚;,,Na
13222,gan2-sek,,眼識,;眼力;,,Na
13223,gan2-sin5,,眼神,;眼力;眼神;,,Na
13224,gan2-tioh8,,眼著,;瞄見;瞄到;瞥見;瞧見;,,VR
13225,gan2--tioh8,,眼著,;瞧見;,,VR
13226,gan2-tiong-bu5-jin5,,眼中無人,;眼中無人;,,
13227,gan2-tiong-chhi3,,眼中刺,;眼中刺;,,Na
13228,gan2-tiong-teng,,眼中釘,;眼中釘;,,Na
13229,gan3,,gan3,;冷卻;凍;,,VC;VH
13230,gan3-chui2,,gan3水,;淬火;焠煉;,,
13231,gan3-kng3,,gan3鋼,;淬火;,,
13232,gan3-thih,,gan3鐵,;淬火;焠煉;,,
13233,gan5-bin7,,顏面,;顏面;,,Na
13234,gan5-liau7,,顏料,;顏料;,,Na
13235,gan5-sek,,顏色,;顏色;,,Na
13236,gan7,,彥,;彥;,,Nb;b
13237,gan7,,雁,;雁;,,Na
13238,gan7-bun5,,諺文,;諺文;,,
13239,gan7-chi2-chng,,雁子磚,;耐火磚;,,Na
13240,gan7-gi2,gan7-gu2,諺語,;諺語;,,Na
13241,gan7-lai5-hong5,,雁來紅,;雁來紅;,,
13242,gang7,,gang7,;發呆;,,VH
13243,gang7-bak8,,gang7目,;傻眼;,,
13244,gang7-gang7,,怢怢,;茫然;惘然;發呆;楞楞的;,,VH
13245,gang7-gang7-khi3,gang7-gang7-khu3,gang7-gang7去,;一臉茫然;,,
13246,gang7--khi3,gang7--khu3,gang7去,;楞住;睖睜;傻住;,,VA
13247,gap,,gap,;斷續地張嘴;,,
13248,gau5,,gau5,;長於;能幹;善於;賢;,,A;VL;VH
13249,gau5 o-lo2,,gau5 o-lo2,;過獎;,,VA
13250,gau5-bong,,gau5摸,;慢吞吞;,,VH
13251,gau5-cha2,,gau5早,;早安;,,VH
13252,gau5-cho3-lang5,gau5-choe3-lang5,gau5做人,;古道熱腸;會做人;,,
13253,gau5-kong2,,gau5講,;健談;,,VH
13254,gau5-kong2-oe7,,gau5講話,;口才流利;,,
13255,gau5-kun2,,gau5滾,;玩笑;,,VA;Na
13256,gau5-kun2-chhio2,,gau5滾笑,;愛開玩笑;,,
13257,gau5-lang5,,gau5人,;能人;偉人;通人;賢人;,,Na
13258,gau5-pian3,,gau5變,;善變;,,VH
13259,gau5-saN-thiaN3,,gau5參疼,;疼愛;錯愛;,,VJ
13260,gau5-siuN7,,gau5想,;多謀;,,
13261,gau5-so5,,gau5-so5,;拖拖拉拉;慢吞吞;,,VH
13262,gau5-tiau,,gau5雕,;好為難;,,
13263,gau5-toh8,,gau5-toh8,;易燃;發火;,,VH
13264,ge2-se2,ge2-soe2,盻洗,;諷刺;,,VC
13265,ge2-se2,ge2-soe2,睨洗,;奚落;諷刺;譏笑;,,VC
13266,ge2-se7,,睨視,;寒磣;諷刺;譏笑;,,VC;VH
13267,ge3,,ge3,;咬;啃;,,VC
13268,ge5,,ge5,;討厭;厭惡;膩煩;,,VI;VK
13269,ge5,,牙,;牙;,,Na
13270,ge5,,芽,;芽;胚芽;,,Na
13271,ge5,,倪,;倪;,,Nb
13272,ge5,,蚜,;蚜;,,b
13273,ge5 giang3-giang3,,牙齴齴,;虎牙;,,Na
13274,ge5 phok-phok,,牙凸凸,;暴牙;,,Na
13275,ge5 pio-pio,,牙標標,;暴牙;,,Na
13276,ge5-bak8,,睨目,;大眼瞪小眼;怒目以對;,,
13277,ge5-chhng5,,牙床,;牙床;,,Na
13278,ge5-chhng5-kut,,牙床骨,;顎骨;,,Na
13279,ge5-cho5,,牙槽,;牙齦;齒槽;,,Nc
13280,ge5-cho5-khi2,,牙槽齒,;臼齒;槽牙;,,Na
13281,ge5-cho5-kut,,牙槽骨,;下顎骨;顎骨;,,Na
13282,ge5-cho5-sai,,牙槽腮,;腮幫子;,,Na
13283,ge5-cho5-thau5,,牙槽頭,;牙關;,,Nc
13284,ge5-ge5,,ge5-ge5,;不順眼;,,
13285,ge5-hong5-teng,,霓虹燈,;霓虹燈;,,Na
13286,ge5-jiau2,,牙爪,;爪牙;,,Na
13287,ge5-kah-gin7,,睨佮恨,;恨之入骨;,,VI
13288,ge5-khi2,,牙齒,;牙齒;,,Na
13289,ge5-khi2-hoaN7,,牙齒岸,;牙齦;,,Nc
13290,ge5-kho,,牙科,;牙科;,,Nc
13291,ge5-kin,ge5-kun,牙根,;牙根;,,Nc
13292,ge5-ko,,牙膏,;牙膏;,,Na
13293,ge5-lan7,,ge5-lan7,;討厭;厭惡;,,VK
13294,ge5-lan7,,睨膦,;反感;嫌惡;賭氣;賭爛;,,VI;VJ;VH
13295,ge5-lang5,,牙人,;仲介;,,VC
13296,ge5-lang5-lan7,,睨人膦,;令人討厭;討人厭;,,VH
13297,ge5-mng5,,衙門,;衙門;,,Nc
13298,ge5-se2,ge5-soe2,譺洗,;諷刺;,,VC
13299,ge5-siau5,,睨siau5,;嫌惡;憎惡;,,VJ
13300,ge5-sin5,,ge5神,;惡心;憎惡;,,Na;VJ
13301,ge5-sin5,,睨神,;嫌惡;憎惡;,,VJ
13302,ge7,,詣,;詣;,,b
13303,ge7,,藝,;藝;,,b
13304,ge7-bun5,,藝文,;藝文;,,A
13305,ge7-choan,,藝專,;藝專;,,Nc
13306,ge7-ge7-chun3,,囈囈顫,;顫動;,,VA
13307,ge7-jin5,,藝人,;藝人;,,Na
13308,ge7-ki,,藝妓,;藝妓;,,Na
13309,ge7-koh,,藝閣,;花車;,,Na
13310,ge7-lan7,,睨膦,;厭惡;,,VK
13311,ge7-lek8,,毅力,;毅力;,,Na
13312,ge7-leng5,,藝能,;藝能;,,Na
13313,ge7-lim5,,藝林,;藝林;,,Na
13314,ge7-mia5,,藝名,;藝名;,,Na
13315,ge7-niu7,gi7-niu7,藝量,;消遣;,,VC
13316,ge7-phin2,,藝品,;藝品;,,Na
13317,ge7-siau5,,睨siau5,;厭惡;,,VK
13318,ge7-sin5,,睨神,;厭惡;,,VK
13319,ge7-sut8,,藝術,;藝術;,,Na
13320,ge7-sut8-hoa3,,藝術化,;藝術化;,,VH
13321,ge7-sut8-ji7,,藝術字,;藝術字;,,
13322,ge7-sut8-ka,,藝術家,;藝術家;,,Na
13323,ge7-sut8-kai3,,藝術界,;藝術界;,,Nc
13324,ge7-sut8-koan2,,藝術館,;藝術館;,,Nc
13325,ge7-sut8-phin2,,藝術品,;藝術品;,,Na
13326,ge7-sut8-seng3,,藝術性,;藝術性;,,Na
13327,ge7-tian2,,藝展,;藝展;,,Na
13328,ge7-toaN3,,藝妲,;藝妓;藝妲;,,Na
13329,ge7-toaN3-soa,,藝旦鯊,;鋸峰齒鮫;,,
13330,ge7-toaN5,,藝壇,;藝壇;,,Nc
13331,gek8,,玉,;玉;,,Na
13332,gek8,,逆,;逆;,,b
13333,gek8-a2,,玉仔,;玉;,,Na
13334,gek8-a2,,鷁仔,;舢舨;,,Na
13335,gek8-chha,,逆差,;逆差;,,Na
13336,gek8-chiam,giok8-chiam,玉簪,;夜來香;,,Na
13337,gek8-choan2,,逆轉,;逆轉;,,VA
13338,gek8-chu2,,逆子,;逆子;,,Na
13339,gek8-chui2,,逆水,;逆水;,,
13340,gek8-hong,,逆風,;逆風;,,Dh
13341,gek8-keng2,,逆境,;逆境;,,Na
13342,gek8-khi3,,玉器,;玉器;,,Na
13343,gek8-khoan5,,玉環,;玉環;,,Na;es;Nb
13344,gek8-lau5,,逆流,;逆流;,,VA;Na
13345,gek8-liau7,,逆料,;逆料;,,VH
13346,gek8-liu5,,逆流,;逆流;,,VA;Na
13347,gek8-lun5,,逆倫,;逆倫;,,VH
13348,gek8-ni2,,逆耳,;逆耳;,,VH
13349,gek8-poaN5,,玉盤,;玉盤;,,Na
13350,gek8-siu3-kiu5,,玉繡球,;毬蘭;,,
13351,gek8-su2,gek8-si2,玉璽,;玉璽;,,Na
13352,gek8-thai7,,虐待,;虐待;,,VC
13353,gek8-thiN,,逆天,;逆天;,,
13354,gek8-tong2,,逆黨,;逆黨;,,Na
13355,geng2,,研,;研;研磨;磨;,,Na;VC;b
13356,geng2,,眼,;眼;,,Nf;b
13357,geng2-boah8,,研末,;研末;研磨;,,VC
13358,geng2-chat8,,研實,;研;,,b
13359,geng2-cho5,,研槽,;研缽;,,
13360,geng2-hu,,研灰,;研末;,,
13361,geng2-hun2,,研粉,;研粉;研磨;,,VC
13362,geng2-kiu3-hoe7,,研究會,;研究會;,,Na
13363,geng2-lou7-ki,,研路機,;壓路機;,,Na
13364,geng2-poah,,研缽,;乳缽;研缽;,,Na
13365,geng2-thui5,,研槌,;研槌;研磨棒;趕麵棍;,,
13366,geng5,,geng5,;恨;淤;,,VJ
13367,geng5-bin7,,迎面,;迎面;,,Dg
13368,geng5-chhin,,迎親,;迎親;,,VA
13369,geng5-chhoa7,,迎娶,;迎娶;,,VC
13370,geng5-chhun,,迎春,;迎春;,,VA
13371,geng5-chian3,,迎戰,;迎戰;,,VC
13372,geng5-chu7,,凝聚,;凝聚;,,VC
13373,geng5-chu7-lek8,,凝聚力,;凝聚力;,,Na
13374,geng5-chui2-chioh8,,凝水石,;大理石;,,Na
13375,geng5-hap8,,迎合,;迎合;,,VJ
13376,geng5-hau7,,迎候,;迎候;,,VC
13377,geng5-hoeh,geng5-huih,凝血,;淤血;瘀血;凝血;,,VH
13378,geng5-jim7-ji5-kai2,,迎刃而解,;迎刃而解;,,VH
13379,geng5-kek,,迎擊,;迎擊;,,VC
13380,geng5-koh,,迎閣,;抬閣;,,
13381,geng5-sang3,,迎送,;迎送;,,
13382,geng5-sim,,凝心,;不甘心;,,
13383,geng5-sin-sang3-ku7,,迎新送舊,;迎新送舊;,,VA
13384,geng5-sng,,凝霜,;結霜;,,VH
13385,geng5-tang7,,凝重,;凝重;,,VH
13386,geng5-tek8,,迎敵,;迎敵;,,VA
13387,geng5-thau5-thong3-kek,,迎頭痛擊,;迎頭痛擊;,,VB
13388,geng5-tiam2,,凝點,;冰點;,,Na
13389,gi2,gu2,語,;語;,,b
13390,gi2,,擬,;擬;,,VF;VC
13391,gi2-a2,,齒仔,;齒輪;,,Na
13392,gi2-bun5,gu2-bun5,語文,;語文;,,Na
13393,gi2-chhiaN2,,擬請,;擬請;,,VF
13394,gi2-choe7,,擬罪,;處刑;,,VB
13395,gi2-gi7,,擬議,;擬議;,,VE
13396,gi2-gian5,gu2-gian5,語言,;語言;,,Na
13397,gi2-gian5-hak8,gu2-gian5-hak8,語言學,;語言學;,,Na
13398,gi2-goan5-hak8,gu2-goan5-hak8,語源學,;語源學;,,
13399,gi2-hak8,gu2-hak8,語學,;語學;,,
13400,gi2-hoat,gu2-hoat,語法,;語法;,,Na
13401,gi2-i3,gu2-i3,語意,;語意;,,Na
13402,gi2-im,gu2-im,語音,;語音;,,Na
13403,gi2-khi3,gu2-khi3,語氣,;語氣;,,Na
13404,gi2-ko2,,擬稿,;擬稿;,,VA
13405,gi2-ku3,gu2-ku3,語句,;語句;,,Na
13406,gi2-lui7,gu2-lui7,語彙,;語彙;,,Na
13407,gi2-pan7,,擬辦,;擬辦;,,VC
13408,gi2-su5,gu2-su5,語詞,;語詞;,,Na
13409,gi2-tang7-sim-tng5,gu2-tang7-sim-tng5,語重心長,;語重心長;,,VH
13410,gi2-teng3,,擬訂,;擬訂;,,VC
13411,gi2-teng7,,擬定,;擬定;,,VC
13412,gi2-tho3,,擬妥,;擬妥;,,VR
13413,gi2-tiau7,gu2-tiau7,語調,;語調;,,Na
13414,gi5,,疑,;疑;,,b
13415,gi5,,儀,;儀;,,b
13416,gi5-an3,,疑案,;疑案;,,Na
13417,gi5-bun7,,疑問,;疑問;,,Na
13418,gi5-gai5,,疑騃,;狐疑;納悶;,,VK;VH
13419,gi5-gai7,,疑騃,;納悶;,,VK
13420,gi5-gi7,,疑義,;疑義;,,Na
13421,gi5-gou7,,疑誤,;料想;,,VE
13422,gi5-hek8,,疑惑,;疑惑;,,VH
13423,gi5-hun5,,疑雲,;疑雲;,,Na
13424,gi5-iong5,,儀容,;儀容;,,Na
13425,gi5-khi3,,儀器,;儀器;,,Na
13426,gi5-khu7,,疑懼,;疑懼;,,VK
13427,Gi5-koan7,,宜縣,;宜縣;,,Nc
13428,Gi5-lan5,,宜蘭,;宜蘭;,,Nc
13429,gi5-lan5-chap8-cheng3,,疑難雜症,;疑難雜症;,,Na
13430,Gi5-lan5-chhi7,,宜蘭市,;宜蘭市;,,Nc
13431,Gi5-lan5-koan7,,宜蘭縣,;宜蘭縣;,,Nc
13432,gi5-lan7,,疑難,;疑難;,,Na
13433,gi5-nga7,gi5-nga2,疑訝,;狐疑;納悶;,,VK;VH
13434,gi5-ngai2,,疑騃,;疑惑;蹊蹺;懷疑;蹺蹊;,,Na;VK;VH
13435,gi5-ngai7,,疑騃,;嘀咕;,,VE
13436,gi5-ngou5,,宜梧,;裡白巴豆;,,
13437,gi5-ngou7,,疑悟,;料想;,,VE
13438,gi5-pe5,,枇杷,;枇杷;,,Na
13439,gi5-piau2,,儀表,;儀表;,,Na
13440,gi5-sai-sai,,誼獅獅,;微笑;,,VA
13441,gi5-sek,,儀式,;儀式;,,Na
13442,gi5-seng-koai3,,疑生怪,;疑心生暗鬼;,,VH
13443,gi5-sim,,疑心,;疑心;懷疑;,,Na;VK;VE
13444,gi5-sim-tang7,,疑心重,;懷疑心重;,,
13445,gi5-sin5-gi5-kui2,,疑神疑鬼,;疑神疑鬼;,,VA
13446,gi5-su7,,疑似,;疑似;,,VH
13447,gi5-tang-gi5-sai,,疑東疑西,;疑神疑鬼;,,VA
13448,gi5-thai3,,儀態,;儀態;,,Na
13449,gi5-tiam2,,疑點,;疑點;,,Na
13450,gi5-tou7,,疑竇,;疑竇;,,Na
13451,gi5-tui7,,儀隊,;儀隊;,,Na
13452,gi7,,字,;字;,,Na
13453,gi7,,義,;義;,,b
13454,gi7,,誼,;誼;,,b
13455,gi7,,議,;議;,,b
13456,gi7-an3,,議案,;議案;,,Na
13457,gi7-be7,gi7-boe7,義賣,;義賣;,,VC
13458,gi7-bin5,,義民,;義民;,,Na
13459,gi7-bo2,gi7-bu2,義母,;義母;,,Na
13460,gi7-bo5-hoan2-kou3,,義無反顧,;義無反顧;,,VA
13461,gi7-bu7,,義務,;義務;,,Na
13462,gi7-chheng2,,議請,;議請;,,VF
13463,gi7-chhiu2,,義手,;義手;,,
13464,gi7-chhu2,,議處,;議處;,,VC
13465,gi7-chi,,義肢,;義肢;,,Na
13466,gi7-chu2,,義子,;義子;螟蛉子;,,Na
13467,gi7-gi7-chhio3,,誼誼笑,;傻笑;微笑;憨笑;,,VA
13468,gi7-gi7-chhoah,,誼誼chhoah,;發抖;,,VA
13469,gi7-han5,,禦寒,;禦寒;,,VH
13470,gi7-heng5,,義行,;義行;,,Na
13471,gi7-heng7,,義行,;義行;,,Na
13472,gi7-ho5,,議和,;議和;,,VA
13473,gi7-hoe7,,議會,;議會;,,Nc
13474,gi7-hu7,,義父,;義父;,,Na
13475,gi7-hun3,,義憤,;義憤;,,Na
13476,gi7-hun3-thian5-eng,,義憤填膺,;義憤填膺;,,VH
13477,gi7-ian2,,義演,;義演;,,Na;VC
13478,gi7-iN7,,議院,;議院;,,Nc
13479,gi7-iong2,,義勇,;義勇;,,Na
13480,gi7-iong7,,御用,;御用;,,A
13481,gi7-jian5,,毅然,;毅然;,,Dh
13482,gi7-jin5,,義人,;義人;,,
13483,gi7-kang,,義工,;義工;,,Na
13484,gi7-ke3,,議價,;議價;,,VA
13485,gi7-keng2,,義警,;義警;,,Na
13486,gi7-khi2,,義齒,;義齒;,,Na
13487,gi7-khi3,,義氣,;義氣;,,Na
13488,gi7-khi3,,儀器,;儀器;,,Na
13489,gi7-ki2,gi7-ku2,義舉,;義舉;,,Na
13490,gi7-kiaN2,,義囝,;義子;,,Na
13491,gi7-kiap,,義俠,;義俠;,,Na
13492,gi7-koat,,議決,;議決;,,VC
13493,gi7-li2,,義女,;義女;,,Na
13494,gi7-li2,,義理,;義理;,,Na
13495,gi7-li2-si7,gi7-li2-si7,義理是,;中規中矩;,,VH
13496,gi7-lu2,,義女,;義女;,,Na
13497,gi7-lun7,,議論,;議論;,,VE
13498,gi7-na5-poaN5,,義藍盤,;苦藍盤;,,
13499,gi7-niu7,ge7-niu7,藝量,;排遣;,,VC
13500,gi7-oan5,,議員,;議員;,,Na
13501,gi7-put-iong5-su5,,義不容辭,;義不容辭;,,VH
13502,gi7-sek,,儀式,;儀式;,,Na
13503,gi7-su3,,御賜,;御賜;,,A
13504,gi7-su7,,義士,;義士;,,Na
13505,gi7-su7,,議事,;議事;,,Na
13506,gi7-su7-jit8-theng5,,議事日程,;議事日程;,,
13507,gi7-su7-liok8,,議事錄,;議事錄;,,Na
13508,gi7-su7-lok8,,議事錄,;議事錄;,,Na
13509,gi7-su7-thiaN,,議事廳,;議事廳;,,Nc
13510,gi7-su7-thui5,,議事槌,;議事槌;,,
13511,gi7-te5,gi7-toe5,議題,;議題;,,Na
13512,gi7-te7,,義弟,;義弟;,,Na
13513,gi7-teng7,,議定,;議定;,,VE
13514,gi7-teng7-su,,議定書,;議定書;,,Na
13515,gi7-tiuN2,,議長,;大哥;議長;,,Na
13516,gi7-tiuN5,,議場,;議場;,,Nc
13517,gia2,,惹,;惹;,,VC
13518,gia5,,gia5,;抬;發作;舉;,,VC;VH
13519,gia5,,鵝,;鵝;,,Na
13520,gia5-cheng3-thau5,,gia5症頭,;病變;,,Na
13521,gia5-chhia-lian2,,gia5車輦,;做車下亡魂;撞車;,,VA
13522,gia5-hi5-ang,gia5-hu5-ang,gia5魚翁,;騎坐;,,
13523,gia5-kak,,鵝角,;公鵝;,,
13524,gia5-kang,,蜈蚣,;蜈蚣;,,Na
13525,gia5-kang-chhau2,,蜈蚣草,;竹節蓼;蓍草;錫蘭七指蕨;,,
13526,gia5-kang-chhiu7,,蜈蚣樹,;烏毛蕨;,,
13527,gia5-kang-chu,,蜈蚣珠,;夜明珠;,,Na
13528,gia5-kang-ki5,,蜈蚣旗,;蜈蚣旗;,,
13529,gia5-kang-ku7,,蜈蚣舅,;馬陸;,,
13530,gia5-kang-sau,,蜈蚣蛸,;錢龍;蠼叟;,,
13531,gia5-kang-siau,,蜈蚣蛸,;蚰蜒;,,Na
13532,gia5-kang-tek,,蜈蚣竹,;竹節蓼;,,
13533,gia5-ke5,,gia5枷,;多此一舉;自找麻煩;負枷;負枷鎖;庸人自擾;無事找事;,,VH
13534,gia5-khau2-chhng,,鵝口瘡,;寄生性口內炎;鵝口瘡;,,Na
13535,gia5-kng2-chioh8,,鵝管石,;管珊瑚;,,
13536,gia5-ko,,gia5高,;抬高;,,VR
