ID,台語羅馬字,台語羅馬字2,台語漢字,華語對譯,英文,freq,pos_h
50742,soa3-chhui3,,soa3嘴,;接茬兒;答茬兒;搭腔;接手;,,1077,VC
50743,soa3-chhui3,,紲嘴,;合口味;接口;順口;搭腔;,,1067,Na;VH
50744,soa3-chhui3,,續,;順口;,,528,VH
50745,soa3-chhui3-boe2,soa3-chhui3-be2,soa3嘴尾,;答茬兒;,,1459,
50746,soa3-chhui3-boe2,soa3-chhui3-be2,紲嘴尾,;換口味;,,1540,
50747,soa3-chiap,,soa3接,;賡續;續接;,,548,
50748,soa3-chiap,,紲接,;接著;賡續;,,945,VR;Dd
50749,soa3-hong,,soa3風,;刮風;,,1371,VA
50750,soa3-khau2,,soa3口,;刷牙;漱口;,,631,VA
50751,soa3-khui3,,紲氣,;起勁;,,559,VH
50752,soa3-loh8,,紲落,;接著;跟著;繼而;,,2462,VR;Dd
50753,soa3-loh8-khi3,soa3-loh8-khu3,紲落去,;接著;跟著;繼而;,,3620,VR;Dd
50754,soa3--loh8-khi3,soa3--loh8-khu3,soa3落去,;接荏兒;接著;跟著;繼而;,,3801,VR;Dd
50755,soa3--loh8-khi3,soa3--loh8-khu3,續落去,;緊接;,,2373,VJ
50756,soa3--loh8-lai5,,續落來,;接下來;緊接著;,,3720,VR;Dd
50757,soa3-oe7,,soa3話,;接話;答茬兒;,,1080,
50758,soa3-pai2,,soa3擺,;擺;,,482,VC
50759,soa3-pan,,soa3班,;接班;,,533,VA
50760,soa3-si3,soa3-se3,soa3勢,;得手;,,1255,VH
50761,soa3-si3,soa3-se3,紲勢,;用功;努力;勤勞;,,1566,VH
50762,soa3-tui7,,soa3隊,;世;,,423,Nf
50763,soa7,,逝,;逝;,,178,b
50764,soa7-so2,,大嫂,;大嫂;,,2059,Na
50765,soa-a2,,鯊仔,;曲齒鮫;,,1076,
50766,soa-a2-te7,soa-a2-toe7,沙仔地,;沙地;沙灘;,,1635,Nc
50767,soa-bak8,,沙目,;沙眼;,,837,Na
50768,soa-bak8,,砂目,;砂眼;,,689,Na
50769,soa-be2-a2,,砂馬仔,;招潮蟹;,,2356,
50770,soa-be2-he7,,砂馬蟹,;招潮蟹;,,1786,
50771,soa-bo2,soa-bu2,沙母,;母;沙子;,,1030,Na;A
50772,soa-bo2,soa-bu2,砂母,;砂礫;,,668,Na
50773,soa-bo2-liap8,soa-bu2-liap8,沙母粒,;沙子;沙礫;,,1139,Na
50774,soa-bo2-liap8,soa-bu2-liap8,砂母粒,;砂子;砂礫;,,1021,Na
50775,soa-bou5,,沙漠,;沙漠;,,487,Na
50776,soa-chhan5,,沙田,;沙田;,,668,Na
50777,soa-chheng5,,沙蠶,;沙蠶;,,455,
50778,soa-chhiang5,,沙腸,;沙蟲;,,483,
50779,soa-chioh8,,沙石,;沙石;,,616,Na
50780,soa-chioh8,,砂石,;石礫;砂石;,,474,Na
50781,soa-chng3-a2,,沙鑽仔,;沙梭;,,1166,
50782,soa-choa2,,沙紙,;沙紙;,,513,
50783,soa-chui,,砂鵻,;針尾鷸;,,368,
50784,soa-gam7,,鯊儑,;鯨鯊;,,365,
50785,soa-gan2,,沙眼,;沙眼;,,598,Na
50786,soa-gan2,,砂眼,;砂眼;,,486,Na
50787,soah,,soah,;罷了;,,946,
50788,soah,,煞,;也;干休;反而;平息;完;完畢;終止;竟;竟然;結束;煞;罷了;,,4174,Db;VC;Da;Cb;b;VH
50789,soah,,撒,;撒;,,555,VC
50790,soah-bang2,,煞蠓,;煞;,,656,b
50791,soah-be2-kiaN2,,煞尾囝,;幼子;,,1619,Na
50792,soah-bo5,,煞無,;煞;,,2366,b
50793,soah-boe2,soah-be2,煞尾,;後來;排尾;結尾;收尾;最後;結果;,,3670,VA;Na;Dk;Nd;VH
50794,soah-boe2-a2,,煞尾仔,;老么;到頭來;,,3529,Dd
50795,soah-boe2-kiaN2,,煞尾囝,;幼子;老么;,,1626,Na
50796,soah-boe2-ui7,,煞尾位,;末座;,,1452,Nc
50797,soah-chhi2,soah-chhu2,煞鼠,;煞;,,841,b
50798,soah-chhiu2,,煞手,;罷手;,,1098,VA
50799,soah-chiuN7,,煞癢,;止癢;煞;,,793,b;VH
50800,soa-he5,,沙蝦,;沙蝦;,,474,
